year,t1,t2,d1,d2,fare,time
2013,0,7,0,3,7.69636283964,385.178716223
2013,0,7,3,6,15.2341205652,839.816534482
2013,0,7,6,9,23.3913369913,1176.52985834
2013,0,7,9,12,30.6094708125,1334.29557065
2013,0,7,12,15,39.8013231641,1609.12279121
2013,0,7,15,18,50.9561351801,1736.90994219
2013,0,7,18,21,53.2703312652,1953.64356679
2013,0,7,21,24,58.0669160545,2294.60420084
2013,0,7,24,50,81.5484254629,2822.99804028
2013,7,10,0,3,8.5545588573,600.360918153
2013,7,10,3,6,17.1278246393,1223.77603673
2013,7,10,6,9,24.9937555586,1466.78033621
2013,7,10,9,12,33.3141483255,1868.60247939
2013,7,10,12,15,41.4334350175,2199.19486503
2013,7,10,15,18,51.716924589,2618.14815164
2013,7,10,18,21,53.6674165182,2930.65025271
2013,7,10,21,24,55.9997240588,3199.43664523
2013,7,10,24,50,79.7517376812,3557.76391304
2013,10,12,0,3,8.84737313572,653.108972142
2013,10,12,3,6,17.8876168377,1330.30318494
2013,10,12,6,9,25.4454099109,1466.48102364
2013,10,12,9,12,33.2476392711,1814.69737431
2013,10,12,12,15,41.5135834926,2071.52498321
2013,10,12,15,18,51.9327848471,2360.71136621
2013,10,12,18,21,53.9980833939,2720.94516735
2013,10,12,21,24,56.4701076105,2985.44180068
2013,10,12,24,50,85.9744855054,3463.25306869
2013,12,17,0,3,8.73474765426,624.829054205
2013,12,17,3,6,17.7562465742,1335.63749627
2013,12,17,6,9,26.0001595055,1612.00911011
2013,12,17,9,12,33.5348725814,1981.8542631
2013,12,17,12,15,43.2280174466,2408.23646678
2013,12,17,15,18,52.1350589977,2904.63365543
2013,12,17,18,21,53.7442720063,3133.57955839
2013,12,17,21,24,56.0516654614,3461.8366859
2013,12,17,24,50,74.8903103914,3773.03734909
2013,17,20,0,3,8.29193710168,554.277162512
2013,17,20,3,6,16.4875577144,1148.66503639
2013,17,20,6,9,24.6333993738,1425.6776873
2013,17,20,9,12,31.8693445445,1669.97220716
2013,17,20,12,15,40.7107949985,2006.65747827
2013,17,20,15,18,50.6017688366,2252.75573613
2013,17,20,18,21,52.7211973677,2450.10433755
2013,17,20,21,24,56.9356505189,2717.42678205
2013,17,20,24,50,80.412134905,3060.06381431
2013,20,22,0,3,8.03227907407,481.89814967
2013,20,22,3,6,15.8547262998,998.363833449
2013,20,22,6,9,24.2034101313,1329.77081443
2013,20,22,9,12,31.2415688046,1487.23734237
2013,20,22,12,15,40.7707337506,1777.47288165
2013,20,22,15,18,49.3278722341,1845.34303311
2013,20,22,18,21,52.6960279402,2051.22448758
2013,20,22,21,24,58.8496728903,2312.60224642
2013,20,22,24,50,84.7148112502,2805.67744347
2013,22,24,0,3,8.00801356183,460.190611408
2013,22,24,3,6,15.8962947858,972.369001226
2013,22,24,6,9,24.2599619788,1342.88384097
2013,22,24,9,12,31.329456871,1488.49804042
2013,22,24,12,15,39.7027149082,1773.3394958
2013,22,24,15,18,49.1854048534,1802.86176518
2013,22,24,18,21,52.8641176749,1988.13332069
2013,22,24,21,24,59.9894356261,2286.37366255
2013,22,24,24,50,86.1674753601,2808.50777104
2013,0,7,0,3,7.956678252,451.636234832
